Local time in Cape Town (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 23:00,18.4,761.7,765.8,2.6,68,Wind blowing from the south-southeast,10,13,,70 – 80%., ,,,,27,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,12.3,,,,,,
01.01.2019 20:00,26.9,759.1,763,0,45,Wind blowing from the south-southwest,5,10,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,27,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",71,13.9,,,,,,
01.01.2019 17:00,26.9,759.1,763,0,45,Wind blowing from the south-southwest,5,8,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",71,13.9,,,,,,
01.01.2019 14:00,26.9,759.1,763,0.2,45,Wind blowing from the south-southwest,5,8,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",30,13.9,,,,,,
01.01.2019 11:00,23.8,758.9,763,0.4,49,Wind blowing from the north,3,6,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30,12.5,,,,,,
01.01.2019 08:00,20.9,758.5,762.5,1.2,59,Wind blowing from the south-west,2,3,,20–30%., ,,,18.3,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,12.5,,,,,,
01.01.2019 05:00,19.1,757.3,761.3,0.6,74,Wind blowing from the south-southwest,4,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,14.4,,,,,,
01.01.2019 02:00,19.2,756.7,760.9,-0.6,84,Wind blowing from the south-southwest,5,7,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40,16.5,,,,,,
31.12.2018 23:00,20,757.3,761.3,1.2,85,Wind blowing from the south-southwest,5,7,,no clouds, ,,,,,,,,,,40,17.3,,,,,,
31.12.2018 20:00,26.7,756.1,760,0,41,Wind blowing from the north-west,5,8,,20–30%., ,,,,32.4,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",55,12.2,,,,,,
31.12.2018 17:00,26.7,756.1,760,0,41,Wind blowing from the north-west,5,8,,no clouds, ,,,,,,,,,,55,12.2,,,,,,
31.12.2018 14:00,26.7,756.1,760,0,41,Wind blowing from the north-west,5,,,no clouds, ,,,,,,,,,,55,12.2,,,,,,
31.12.2018 11:00,26.7,756.1,760,0.4,41,Wind blowing from the north-west,5,11,,no clouds, ,,,,,,,,,,30,12.2,,,,,,
31.12.2018 08:00,22.1,755.7,759.7,0.5,64,Wind blowing from the west-northwest,3,5,,no clouds, ,,,13.8,,,,,,,40,14.9,,,,,,
