,Local time in Cape Town,T,Po,P,Pa,U,DD,Ff,ff10,Td
0,2019-01-01 02:00:00,19.2,756.7,760.9,-0.6,760.9,Wind blowing from the south-southwest,5.0,7.0,16.5
1,2019-01-01 03:00:00,19.2,756.7,760.9,-0.6,760.9,Wind blowing from the south-southwest,5.0,7.0,16.5
2,2019-01-01 04:00:00,19.2,756.7,760.9,-0.6,760.9,Wind blowing from the south-southwest,5.0,7.0,16.5
3,2019-01-01 05:00:00,19.1,757.3,761.3,0.6,761.3,Wind blowing from the south-southwest,4.0,6.926041261191125,14.4
4,2019-01-01 06:00:00,19.1,757.3,761.3,0.6,761.3,Wind blowing from the south-southwest,4.0,6.926041261191125,14.4
5,2019-01-01 07:00:00,19.1,757.3,761.3,0.6,761.3,Wind blowing from the south-southwest,4.0,6.926041261191125,14.4
6,2019-01-01 08:00:00,20.9,758.5,762.5,1.2,762.5,Wind blowing from the south-west,2.0,3.0,12.5
7,2019-01-01 09:00:00,20.9,758.5,762.5,1.2,762.5,Wind blowing from the south-west,2.0,3.0,12.5
8,2019-01-01 10:00:00,20.9,758.5,762.5,1.2,762.5,Wind blowing from the south-west,2.0,3.0,12.5
9,2019-01-01 11:00:00,23.8,758.9,763.0,0.4,763.0,Wind blowing from the north,3.0,6.0,12.5
10,2019-01-01 12:00:00,23.8,758.9,763.0,0.4,763.0,Wind blowing from the north,3.0,6.0,12.5
11,2019-01-01 13:00:00,23.8,758.9,763.0,0.4,763.0,Wind blowing from the north,3.0,6.0,12.5
12,2019-01-01 14:00:00,26.9,759.1,763.0,0.2,763.0,Wind blowing from the south-southwest,5.0,8.0,13.9
13,2019-01-01 15:00:00,26.9,759.1,763.0,0.2,763.0,Wind blowing from the south-southwest,5.0,8.0,13.9
14,2019-01-01 16:00:00,26.9,759.1,763.0,0.2,763.0,Wind blowing from the south-southwest,5.0,8.0,13.9
15,2019-01-01 17:00:00,26.9,759.1,763.0,0.0,763.0,Wind blowing from the south-southwest,5.0,8.0,13.9
16,2019-01-01 18:00:00,26.9,759.1,763.0,0.0,763.0,Wind blowing from the south-southwest,5.0,8.0,13.9
17,2019-01-01 19:00:00,26.9,759.1,763.0,0.0,763.0,Wind blowing from the south-southwest,5.0,8.0,13.9
18,2019-01-01 20:00:00,26.9,759.1,763.0,0.0,763.0,Wind blowing from the south-southwest,5.0,10.0,13.9
19,2019-01-01 21:00:00,26.9,759.1,763.0,0.0,763.0,Wind blowing from the south-southwest,5.0,10.0,13.9
20,2019-01-01 22:00:00,26.9,759.1,763.0,0.0,763.0,Wind blowing from the south-southwest,5.0,10.0,13.9
21,2019-01-01 23:00:00,18.4,761.7,765.8,2.6,765.8,Wind blowing from the south-southeast,10.0,13.0,12.3
22,2019-01-02 00:00:00,18.4,761.7,765.8,2.6,765.8,Wind blowing from the south-southeast,10.0,13.0,12.3
23,2019-01-02 01:00:00,18.4,761.7,765.8,2.6,765.8,Wind blowing from the south-southeast,10.0,13.0,12.3
24,2019-01-02 02:00:00,21.2,755.9,760.0,-0.4,760.0,Wind blowing from the south-east,5.0,8.0,12.9
25,2019-01-02 03:00:00,21.2,755.9,760.0,-0.4,760.0,Wind blowing from the south-east,5.0,8.0,12.9
26,2019-01-02 04:00:00,21.2,755.9,760.0,-0.4,760.0,Wind blowing from the south-east,5.0,8.0,12.9
27,2019-01-02 05:00:00,21.2,755.9,760.0,-0.4,760.0,Wind blowing from the south-east,5.0,8.0,12.9
28,2019-01-02 06:00:00,21.2,755.9,760.0,-0.4,760.0,Wind blowing from the south-east,5.0,8.0,12.9
29,2019-01-02 07:00:00,21.2,755.9,760.0,-0.4,760.0,Wind blowing from the south-east,5.0,8.0,12.9
30,2019-01-02 08:00:00,24.5,756.6,760.6,0.004967367657722998,760.6,Wind blowing from the south-east,4.0,6.0,14.5
31,2019-01-02 09:00:00,24.5,756.6,760.6,0.004967367657722998,760.6,Wind blowing from the south-east,4.0,6.0,14.5
32,2019-01-02 10:00:00,24.5,756.6,760.6,0.004967367657722998,760.6,Wind blowing from the south-east,4.0,6.0,14.5
33,2019-01-02 11:00:00,30.1,756.3,760.2,-0.3,760.2,Wind blowing from the south-southeast,7.0,8.0,13.6
34,2019-01-02 12:00:00,30.1,756.3,760.2,-0.3,760.2,Wind blowing from the south-southeast,7.0,8.0,13.6
35,2019-01-02 13:00:00,30.1,756.3,760.2,-0.3,760.2,Wind blowing from the south-southeast,7.0,8.0,13.6
36,2019-01-02 14:00:00,30.1,756.3,760.2,-0.3,760.2,Wind blowing from the south-southeast,7.0,8.0,13.6
37,2019-01-02 15:00:00,30.1,756.3,760.2,-0.3,760.2,Wind blowing from the south-southeast,7.0,8.0,13.6
38,2019-01-02 16:00:00,30.1,756.3,760.2,-0.3,760.2,Wind blowing from the south-southeast,7.0,8.0,13.6
39,2019-01-02 17:00:00,30.6,753.3,757.2,0.004967367657722998,757.2,Wind blowing from the south-east,10.0,10.0,15.1
40,2019-01-02 18:00:00,30.6,753.3,757.2,0.004967367657722998,757.2,Wind blowing from the south-east,10.0,10.0,15.1
41,2019-01-02 19:00:00,30.6,753.3,757.2,0.004967367657722998,757.2,Wind blowing from the south-east,10.0,10.0,15.1
42,2019-01-02 20:00:00,30.6,753.3,757.2,0.0,757.2,Wind blowing from the south-east,10.0,6.926041261191125,15.1
43,2019-01-02 21:00:00,30.6,753.3,757.2,0.0,757.2,Wind blowing from the south-east,10.0,6.926041261191125,15.1
44,2019-01-02 22:00:00,30.6,753.3,757.2,0.0,757.2,Wind blowing from the south-east,10.0,6.926041261191125,15.1
45,2019-01-02 23:00:00,22.0,753.7,757.8,0.4,757.8,Wind blowing from the south-southeast,4.0,5.0,15.1
46,2019-01-03 00:00:00,22.0,753.7,757.8,0.4,757.8,Wind blowing from the south-southeast,4.0,5.0,15.1
47,2019-01-03 01:00:00,22.0,753.7,757.8,0.4,757.8,Wind blowing from the south-southeast,4.0,5.0,15.1
48,2019-01-03 02:00:00,19.9,759.2,763.3,-0.9,763.3,Wind blowing from the north-northwest,3.0,4.0,18.2
49,2019-01-03 03:00:00,19.9,759.2,763.3,-0.9,763.3,Wind blowing from the north-northwest,3.0,4.0,18.2
50,2019-01-03 04:00:00,19.9,759.2,763.3,-0.9,763.3,Wind blowing from the north-northwest,3.0,4.0,18.2
51,2019-01-03 05:00:00,19.5,758.4,762.5,-0.8,762.5,Wind blowing from the west-southwest,2.0,4.0,18.5
52,2019-01-03 06:00:00,19.5,758.4,762.5,-0.8,762.5,Wind blowing from the west-southwest,2.0,4.0,18.5
53,2019-01-03 07:00:00,19.5,758.4,762.5,-0.8,762.5,Wind blowing from the west-southwest,2.0,4.0,18.5
54,2019-01-03 08:00:00,18.8,759.7,763.9,1.3,763.9,Wind blowing from the south,2.0,4.0,16.7
55,2019-01-03 09:00:00,18.8,759.7,763.9,1.3,763.9,Wind blowing from the south,2.0,4.0,16.7
56,2019-01-03 10:00:00,18.8,759.7,763.9,1.3,763.9,Wind blowing from the south,2.0,4.0,16.7
57,2019-01-03 11:00:00,23.8,759.7,764.0,0.0,764.0,Wind blowing from the south,4.0,6.926041261191125,14.0
58,2019-01-03 12:00:00,23.8,759.7,764.0,0.0,764.0,Wind blowing from the south,4.0,6.926041261191125,14.0
59,2019-01-03 13:00:00,23.8,759.7,764.0,0.0,764.0,Wind blowing from the south,4.0,6.926041261191125,14.0
60,2019-01-03 14:00:00,25.5,758.7,763.0,-1.0,763.0,Wind blowing from the south,4.0,6.0,12.9
61,2019-01-03 15:00:00,25.5,758.7,763.0,-1.0,763.0,Wind blowing from the south,4.0,6.0,12.9
62,2019-01-03 16:00:00,25.5,758.7,763.0,-1.0,763.0,Wind blowing from the south,4.0,6.0,12.9
63,2019-01-03 17:00:00,24.5,758.1,762.1,-0.6,762.1,Wind blowing from the south,7.0,9.0,13.2
64,2019-01-03 18:00:00,24.5,758.1,762.1,-0.6,762.1,Wind blowing from the south,7.0,9.0,13.2
65,2019-01-03 19:00:00,24.5,758.1,762.1,-0.6,762.1,Wind blowing from the south,7.0,9.0,13.2
66,2019-01-03 20:00:00,19.8,758.2,762.2,0.1,762.2,Wind blowing from the south,5.0,7.0,15.7
67,2019-01-03 21:00:00,19.8,758.2,762.2,0.1,762.2,Wind blowing from the south,5.0,7.0,15.7
68,2019-01-03 22:00:00,19.8,758.2,762.2,0.1,762.2,Wind blowing from the south,5.0,7.0,15.7
69,2019-01-03 23:00:00,18.0,758.5,762.8,0.3,762.8,Wind blowing from the south-southeast,3.0,3.0,15.6
70,2019-01-04 00:00:00,18.0,758.5,762.8,0.3,762.8,Wind blowing from the south-southeast,3.0,3.0,15.6
71,2019-01-04 01:00:00,18.0,758.5,762.8,0.3,762.8,Wind blowing from the south-southeast,3.0,3.0,15.6
72,2019-01-04 02:00:00,14.8,761.8,766.0,1.0,766.0,Wind blowing from the south,3.0,4.0,10.3
73,2019-01-04 03:00:00,14.8,761.8,766.0,1.0,766.0,Wind blowing from the south,3.0,4.0,10.3
