,datetime,T,Po,P,Pa,U,Ff,ff10,VV,Td
0,2016-01-01 02:00:00,20.9,756.3,760.3,-0.003512219083875732,760.3,4.0,8.0,30.0,18.6
1,2016-01-01 03:00:00,20.9,756.3,760.3,-0.003512219083875732,760.3,4.0,8.0,30.0,18.6
2,2016-01-01 04:00:00,20.9,756.3,760.3,-0.003512219083875732,760.3,4.0,8.0,30.0,18.6
3,2016-01-01 05:00:00,20.9,756.3,760.3,-0.003512219083875732,760.3,4.0,8.0,30.0,18.6
4,2016-01-01 06:00:00,20.9,756.3,760.3,-0.003512219083875732,760.3,4.0,8.0,30.0,18.6
5,2016-01-01 07:00:00,20.9,756.3,760.3,-0.003512219083875732,760.3,4.0,8.0,30.0,18.6
6,2016-01-01 08:00:00,21.6,757.1,761.2,-0.003512219083875732,761.2,3.0,4.0,12.0,18.0
7,2016-01-01 09:00:00,21.6,757.1,761.2,-0.003512219083875732,761.2,3.0,4.0,12.0,18.0
8,2016-01-01 10:00:00,21.6,757.1,761.2,-0.003512219083875732,761.2,3.0,4.0,12.0,18.0
9,2016-01-01 11:00:00,28.1,757.6,761.5,0.5,761.5,4.0,6.0,20.0,19.1
10,2016-01-01 12:00:00,28.1,757.6,761.5,0.5,761.5,4.0,6.0,20.0,19.1
11,2016-01-01 13:00:00,28.1,757.6,761.5,0.5,761.5,4.0,6.0,20.0,19.1
12,2016-01-01 14:00:00,27.5,758.2,762.1,0.6,762.1,9.0,11.0,20.0,20.0
13,2016-01-01 15:00:00,27.5,758.2,762.1,0.6,762.1,9.0,11.0,20.0,20.0
14,2016-01-01 16:00:00,27.5,758.2,762.1,0.6,762.1,9.0,11.0,20.0,20.0
15,2016-01-01 17:00:00,26.5,758.1,762.2,-0.1,762.2,9.0,11.0,30.0,18.9
16,2016-01-01 18:00:00,26.5,758.1,762.2,-0.1,762.2,9.0,11.0,30.0,18.9
17,2016-01-01 19:00:00,26.5,758.1,762.2,-0.1,762.2,9.0,11.0,30.0,18.9
18,2016-01-01 20:00:00,23.1,758.8,763.0,0.7,763.0,7.0,9.0,25.0,18.4
19,2016-01-01 21:00:00,23.1,758.8,763.0,0.7,763.0,7.0,9.0,25.0,18.4
20,2016-01-01 22:00:00,23.1,758.8,763.0,0.7,763.0,7.0,9.0,25.0,18.4
21,2016-01-01 23:00:00,22.4,759.7,763.8,0.9,763.8,7.0,8.0,25.0,17.8
22,2016-01-02 00:00:00,22.4,759.7,763.8,0.9,763.8,7.0,8.0,25.0,17.8
23,2016-01-02 01:00:00,22.4,759.7,763.8,0.9,763.8,7.0,8.0,25.0,17.8
24,2016-01-02 02:00:00,21.2,752.4,756.4,-0.7,756.4,1.0,2.0,20.0,17.9
25,2016-01-02 03:00:00,21.2,752.4,756.4,-0.7,756.4,1.0,2.0,20.0,17.9
26,2016-01-02 04:00:00,21.2,752.4,756.4,-0.7,756.4,1.0,2.0,20.0,17.9
27,2016-01-02 05:00:00,18.6,751.5,755.5,-0.9,755.5,3.0,4.0,25.0,15.2
28,2016-01-02 06:00:00,18.6,751.5,755.5,-0.9,755.5,3.0,4.0,25.0,15.2
29,2016-01-02 07:00:00,18.6,751.5,755.5,-0.9,755.5,3.0,4.0,25.0,15.2
30,2016-01-02 08:00:00,23.8,751.9,756.1,0.4,756.1,4.0,5.0,25.0,16.4
31,2016-01-02 09:00:00,23.8,751.9,756.1,0.4,756.1,4.0,5.0,25.0,16.4
32,2016-01-02 10:00:00,23.8,751.9,756.1,0.4,756.1,4.0,5.0,25.0,16.4
33,2016-01-02 11:00:00,25.3,752.1,756.2,0.2,756.2,7.0,9.0,30.0,18.7
34,2016-01-02 12:00:00,25.3,752.1,756.2,0.2,756.2,7.0,9.0,30.0,18.7
35,2016-01-02 13:00:00,25.3,752.1,756.2,0.2,756.2,7.0,9.0,30.0,18.7
36,2016-01-02 14:00:00,26.7,752.2,756.1,0.1,756.1,9.0,11.0,30.0,19.0
37,2016-01-02 15:00:00,26.7,752.2,756.1,0.1,756.1,9.0,11.0,30.0,19.0
38,2016-01-02 16:00:00,26.7,752.2,756.1,0.1,756.1,9.0,11.0,30.0,19.0
39,2016-01-02 17:00:00,27.4,751.8,755.7,-0.4,755.7,8.0,10.0,20.0,19.1
40,2016-01-02 18:00:00,27.4,751.8,755.7,-0.4,755.7,8.0,10.0,20.0,19.1
41,2016-01-02 19:00:00,27.4,751.8,755.7,-0.4,755.7,8.0,10.0,20.0,19.1
42,2016-01-02 20:00:00,22.7,752.2,756.1,0.4,756.1,9.0,10.0,20.0,19.6
43,2016-01-02 21:00:00,22.7,752.2,756.1,0.4,756.1,9.0,10.0,20.0,19.6
44,2016-01-02 22:00:00,22.7,752.2,756.1,0.4,756.1,9.0,10.0,20.0,19.6
45,2016-01-02 23:00:00,21.4,752.9,757.0,0.7,757.0,6.0,8.0,20.0,19.1
46,2016-01-03 00:00:00,21.4,752.9,757.0,0.7,757.0,6.0,8.0,20.0,19.1
47,2016-01-03 01:00:00,21.4,752.9,757.0,0.7,757.0,6.0,8.0,20.0,19.1
48,2016-01-03 02:00:00,18.7,757.8,761.9,0.3,761.9,4.0,6.0,20.0,15.7
49,2016-01-03 03:00:00,18.7,757.8,761.9,0.3,761.9,4.0,6.0,20.0,15.7
50,2016-01-03 04:00:00,18.7,757.8,761.9,0.3,761.9,4.0,6.0,20.0,15.7
51,2016-01-03 05:00:00,16.7,757.6,761.7,-0.2,761.7,1.0,2.0,20.0,14.7
52,2016-01-03 06:00:00,16.7,757.6,761.7,-0.2,761.7,1.0,2.0,20.0,14.7
53,2016-01-03 07:00:00,16.7,757.6,761.7,-0.2,761.7,1.0,2.0,20.0,14.7
54,2016-01-03 08:00:00,16.6,759.6,763.7,2.0,763.7,2.0,3.0,18.0,14.7
55,2016-01-03 09:00:00,16.6,759.6,763.7,2.0,763.7,2.0,3.0,18.0,14.7
56,2016-01-03 10:00:00,16.6,759.6,763.7,2.0,763.7,2.0,3.0,18.0,14.7
